Isolate,plasmid,presence,color
ASM4079077v1,lp38,lp38,#00fdcf
ASM4079079v1,lp38,lp38,#00fdcf
B331P,lp38,lp38,#00fdcf
B418P,lp38,lp38,#00fdcf
B500P,lp38,lp38,#00fdcf
UCT109H,lp38,lp38,#00fdcf
UCT110H,lp38,lp38,#00fdcf
UCT113H,lp38,lp38,#00fdcf
UCT124H,lp38,lp38,#00fdcf
UCT29H,lp38,lp38,#00fdcf
UCT30H,lp38,lp38,#00fdcf
UCT32H,lp38,lp38,#00fdcf
UCT35H,lp38,lp38,#00fdcf
UCT50H,lp38,lp38,#00fdcf
UCT92H,lp38,lp38,#00fdcf
UCT96H,lp38,lp38,#00fdcf
UNY1032P,lp38,lp38,#00fdcf
UNY1038P,lp38,lp38,#00fdcf
UNY1083P,lp38,lp38,#00fdcf
UNY1085P,lp38,lp38,#00fdcf
UNY1128P,lp38,lp38,#00fdcf
UNY149P,lp38,lp38,#00fdcf
UNY169P,lp38,lp38,#00fdcf
UNY172P,lp38,lp38,#00fdcf
UNY193P,lp38,lp38,#00fdcf
UNY203P,lp38,lp38,#00fdcf
UNY990P,lp38,lp38,#00fdcf
URI101H,lp38,lp38,#00fdcf
URI102H,lp38,lp38,#00fdcf
URI103H,lp38,lp38,#00fdcf
URI107H,lp38,lp38,#00fdcf
URI111H,lp38,lp38,#00fdcf
URI112H,lp38,lp38,#00fdcf
URI117H,lp38,lp38,#00fdcf
URI120H,lp38,lp38,#00fdcf
URI33H,lp38,lp38,#00fdcf
URI34H,lp38,lp38,#00fdcf
URI36H,lp38,lp38,#00fdcf
URI39H,lp38,lp38,#00fdcf
URI40H,lp38,lp38,#00fdcf
URI44H,lp38,lp38,#00fdcf
URI46H,lp38,lp38,#00fdcf
URI47H,lp38,lp38,#00fdcf
URI48H,lp38,lp38,#00fdcf
